cluster_id,event_count,center_lat,center_lon,avg_speed,avg_accelX,avg_accelY,top_postal,abs_count,esc_count,aeb_count,unique_dates,unique_journeys
0,202,42.76685457425743,-78.64488105940593,28.39128712871287,-1.2299504950495048,0.16727722772277226,14052,68,134,0,17,31
26,72,42.94575997222222,-78.72476799999998,28.11111111111111,-1.7893055555555553,-0.19861111111111113,14225,72,0,0,20,36
254,66,42.92374362121212,-78.62264524242423,33.45454545454545,-2.063787878787879,-0.007575757575757576,14086,66,0,0,15,33
86,36,42.88400244444445,-78.86832705555554,35.95555555555555,-2.8055555555555554,0.011944444444444445,14204,36,0,0,15,18
60,32,42.99133565625,-78.78975940625,35.67,-2.63625,-0.0665625,14261,32,0,0,10,16
85,26,42.94312323076924,-78.84409907692309,43.113846153846154,-1.2807692307692309,-0.0007692307692307697,14214,26,0,0,10,13
116,26,42.8840545,-78.76632023076922,43.22461538461538,-1.4907692307692304,0.03230769230769231,14227,26,0,0,11,13
255,24,42.9209035,-78.63758233333333,28.706666666666667,-2.0429166666666667,0.027499999999999997,14086,24,0,0,9,12
271,24,42.92093975,-78.64242908333334,32.2,-1.835,-0.005833333333333334,14086,24,0,0,10,12
53,22,42.82198177272727,-78.63671822727274,37.018181818181816,-2.0772727272727276,-0.005909090909090909,14059,22,0,0,6,11
34,22,42.92726890909091,-78.75346363636365,38.705454545454536,-1.9972727272727275,-0.0036363636363636364,14225,22,0,0,9,11
159,20,42.8926476,-78.88465645,35.824000000000005,-2.1494999999999997,-0.16299999999999998,14201,20,0,0,9,10
100,20,42.727529249999996,-78.64716665,33.168000000000006,-1.7439999999999998,0.5825000000000001,14052,8,12,0,5,6
49,20,42.93056349999999,-78.89983225,74.72000000000001,-1.6460000000000001,0.015,14207,20,0,0,8,10
63,18,42.87885272222222,-78.87558033333332,25.742222222222225,-1.4644444444444444,-0.024444444444444442,14203,18,0,0,7,9
72,18,42.895561555555545,-78.81406783333334,51.73333333333333,-1.537222222222222,0.010555555555555556,14212,18,0,0,6,8
180,18,42.962291722222226,-78.8138805,32.72888888888889,-2.0994444444444444,-0.0033333333333333322,14226,18,0,0,8,9
5,18,42.88357744444445,-78.87276972222222,15.128888888888891,-0.8055555555555556,-0.06777777777777778,14203,18,0,0,8,9
366,16,43.004185125,-78.852396,24.64,-0.984375,-0.016875000000000005,14150,16,0,0,7,8
163,16,42.9359274375,-78.8884950625,28.419999999999998,-1.944375,-0.09125,14213,16,0,0,8,8
184,16,42.9776945,-78.72469525,14.3,-1.8312500000000003,-0.0875,14221,16,0,0,7,8
236,16,42.9182980625,-78.6578273125,16.740000000000002,-1.81125,-0.020625,14086,16,0,0,7,8
147,16,42.937133,-78.88905775,18.880000000000003,-1.77625,0.00375,14207,16,0,0,8,8
225,16,42.9628175625,-78.677108875,16.64,-3.184375,-0.023125000000000003,14221,16,0,0,8,8
99,14,42.77122707142858,-78.59535857142858,14.582857142857142,-0.5021428571428571,0.02428571428571429,14052,14,0,0,6,7
46,14,42.87892421428571,-78.87840600000001,55.90857142857143,-2.2842857142857143,-0.15928571428571428,14202,12,2,0,6,7
129,14,42.88012964285714,-78.87153085714286,47.08571428571429,-1.5135714285714286,-0.032857142857142856,14203,14,0,0,6,7
16,14,42.88572407142857,-78.87654685714286,18.33142857142857,-1.1957142857142855,-0.02142857142857143,14202,14,0,0,6,7
151,14,43.08466549999999,-78.78814264285715,15.588571428571429,-1.1864285714285714,-0.125,14120,14,0,0,6,7
117,14,43.0476995,-78.4993135,47.40571428571429,-1.9049999999999996,0.02,14001,14,0,0,5,7
404,14,43.2865715,-78.71027107142856,22.400000000000002,-1.78,-0.01142857142857143,14108,14,0,0,6,7
31,12,43.200984166666665,-78.88559658333334,40.586666666666666,-1.665,0.004166666666666667,14131,12,0,0,6,6
322,12,43.006055,-78.64710991666668,5.68,-3.008333333333334,0.028333333333333335,14032,12,0,0,6,6
317,12,42.94034208333333,-78.84402883333333,20.080000000000002,-1.3225,-0.24083333333333334,14214,12,0,0,5,6
51,12,42.885397416666656,-78.86791699999999,22.293333333333333,-2.608333333333333,-0.015000000000000005,14203,12,0,0,6,6
160,12,42.99522425,-78.74565408333332,14.053333333333333,-0.6166666666666667,-0.05333333333333332,14221,12,0,0,5,6
210,12,42.95623349999999,-78.69691175,35.68000000000001,-1.7966666666666666,-0.19416666666666668,14221,10,2,0,5,6
11,12,42.93225316666667,-78.85068775,27.599999999999994,-2.6666666666666665,-0.06333333333333334,14214,12,0,0,6,6
253,12,42.99080733333333,-78.80561924999999,19.653333333333332,-1.939166666666667,-0.305,14226,12,0,0,5,6
235,12,42.92832683333334,-78.85091366666667,24.77333333333333,-2.970833333333333,0.003333333333333341,14214,10,2,0,4,5
93,12,42.954912916666665,-78.87832016666665,33.49333333333333,-3.1575,0.030833333333333334,14216,12,0,0,5,6
139,10,42.8962247,-78.8539357,44.384,-2.0309999999999997,-0.014000000000000002,14211,10,0,0,5,5
258,10,42.8734269,-78.8142318,63.839999999999996,-1.614,-0.347,14206,10,0,0,4,5
144,10,42.9586588,-78.8774544,44.032,-1.006,0.009999999999999998,14217,10,0,0,4,5
110,10,42.9187852,-78.7370714,24.927999999999997,-1.504,-0.040999999999999995,14225,8,2,0,4,5
114,10,43.1855908,-78.7546265,15.904000000000002,-1.4129999999999998,0.05900000000000001,14094,10,0,0,5,5
42,10,42.945439199999996,-78.8721535,36.8,-0.807,0.199,14216,4,6,0,5,5
320,10,43.252905399999996,-79.0343058,56.160000000000004,-0.748,-0.01,14174,10,0,0,5,5
36,10,42.9931516,-78.78763519999998,71.10400000000001,-2.085,-0.44299999999999995,14261,8,2,0,3,4
29,10,42.931885199999996,-78.9011659,29.152000000000005,-1.365,-0.315,14207,10,0,0,5,5
391,10,43.003347299999994,-78.64969110000001,15.456,-3.5549999999999997,0.009,14032,10,0,0,5,5
310,10,42.876848300000006,-78.6968335,20.000000000000004,-1.77,-0.33199999999999996,14043,8,2,0,3,4
227,10,42.99473220000001,-78.8742201,52.864,-1.5930000000000002,-0.207,14150,10,0,0,5,5
146,10,42.9054632,-78.72823869999999,38.848000000000006,-2.022,0.13,14227,10,0,0,5,5
198,10,42.8691563,-78.82203690000001,29.887999999999998,-3.3590000000000004,-0.03,14210,10,0,0,4,4
17,10,43.1222639,-78.6967473,21.695999999999998,-1.967,-0.29800000000000004,14094,10,0,0,5,5
212,10,42.877519,-78.86265879999999,46.912,-2.6430000000000002,0.005,14204,10,0,0,5,5
197,10,42.980588,-78.8260469,29.568,-1.9260000000000002,0.033,14150,10,0,0,5,5
189,10,42.95733679999999,-78.81891099999999,32.448,-2.726,-0.023,14214,10,0,0,5,5
149,10,42.8820203,-78.64069370000001,17.183999999999997,-2.1479999999999997,-0.20500000000000002,14086,10,0,0,4,5
416,10,43.002598,-78.8566326,22.912,-0.943,-0.001999999999999999,14150,10,0,0,2,5
242,10,42.90213469999999,-78.8397107,31.199999999999996,-2.973,-0.005000000000000003,14211,10,0,0,5,5
228,10,42.8286709,-78.7859463,25.695999999999998,-1.673,0.010000000000000005,14224,10,0,0,5,5
148,9,43.00151366666666,-78.82238455555556,44.12444444444444,-2.167777777777778,-0.004444444444444445,14150,9,0,0,5,5
32,9,42.991990333333334,-78.82250577777776,36.33777777777778,-1.0633333333333332,-0.04666666666666666,14226,9,0,0,5,5
410,9,42.99115644444444,-78.78873933333334,38.684444444444445,-4.235555555555555,0.013333333333333332,14221,4,0,5,2,2
311,8,42.98707675,-78.81733787499999,22.119999999999997,-1.38375,-0.2725,14226,8,0,0,3,4
10,8,42.89760750000001,-78.813976125,33.0,-2.1825,-0.0125,14212,8,0,0,3,4
195,8,42.875216875,-78.87254337499999,25.479999999999997,-2.92,0.0175,14203,8,0,0,3,4
14,8,42.893501875,-78.865232875,39.32,-1.55875,0.018750000000000003,14203,8,0,0,4,4
190,8,42.915431999999996,-78.876771125,30.16,-2.48875,-0.07499999999999998,14222,8,0,0,4,4
219,8,42.990990624999995,-78.82037025,19.880000000000003,-1.48875,-0.07,14226,8,0,0,4,4
174,8,42.956460125,-78.78321324999999,25.880000000000003,-2.8375,0.057499999999999996,14226,8,0,0,4,4
215,8,42.956530375,-78.716587,68.4,-1.1837499999999999,0.01875,14221,8,0,0,4,4
62,8,42.867790375,-78.710233875,51.040000000000006,-0.75375,0.0175,14227,8,0,0,3,4
341,8,42.808856625,-78.823908375,23.4,-1.8725,-0.13625,14218,8,0,0,4,4
76,8,42.94776725,-78.873543625,42.760000000000005,-1.8162500000000001,0.0225,14216,8,0,0,4,4
70,8,42.91535775,-78.86479499999999,19.759999999999998,-2.18,-0.14500000000000002,14209,8,0,0,3,4
74,8,42.933341874999996,-78.90249499999999,95.56,-3.01625,-0.11499999999999999,14207,8,0,0,4,4
326,8,42.871168624999996,-78.82057275,54.08,-1.3187499999999999,0.042499999999999996,14206,8,0,0,4,4
222,8,42.199314875,-79.74687212500001,17.32,-1.5275,0.0775,14775,8,0,0,3,4
238,8,42.73164725,-78.64512075,14.879999999999999,-1.9812500000000002,0.03000000000000001,14052,6,2,0,3,3
221,8,42.897278125,-78.87060575,43.4,-2.1775,0.0475,14202,8,0,0,4,4
164,8,42.956733625,-78.877952,34.76,-1.8312499999999998,-0.0425,14216,8,0,0,4,4
162,8,42.922006625,-78.493583625,32.76,-3.0524999999999998,-0.01625,14004,8,0,0,3,4
126,8,42.78881,-78.72635575000001,30.439999999999998,-2.415,-0.036250000000000004,14127,8,0,0,4,4
121,8,42.929229625,-78.85293874999999,29.599999999999998,-2.8137499999999998,-0.03875,14214,8,0,0,4,4
138,8,42.684661250000005,-78.566399375,20.0,-1.4425,-0.22125,14080,8,0,0,4,4
131,8,42.8928255,-78.86843599999999,21.159999999999997,-1.93875,-0.34375,14203,8,0,0,4,4
125,8,42.880521375,-78.878427375,45.88,-2.2475,-0.3675,14202,8,0,0,4,4
306,8,42.849834875,-78.788151,82.52,-1.9312500000000001,-0.2525,14224,8,0,0,4,4
84,8,42.99934825,-78.63755950000001,21.240000000000002,-3.13375,0.07,14032,8,0,0,4,4
283,8,42.944424999999995,-78.67716887499999,27.68,-1.1925,-0.1225,14026,6,2,0,4,4
293,8,42.9452695,-78.907517125,40.2,-1.6175,0.23875000000000002,14207,6,2,0,4,4
109,8,42.0977695,-79.2908435,14.159999999999998,-1.095,0.06000000000000001,14701,8,0,0,4,4
94,8,42.98026475,-78.858636625,23.68,-1.7912499999999998,-0.0375,14223,8,0,0,4,4
83,8,42.827952249999996,-78.80424174999999,20.96,-1.6575,-0.25125,14218,8,0,0,4,4
90,8,43.086058625,-78.69686775,62.36,-1.9587500000000002,0.01125,14051,8,0,0,4,4
248,8,42.963147375,-78.78280762499999,40.120000000000005,-2.0475,-0.0025000000000000022,14226,8,0,0,4,4
39,8,42.9583635,-78.87838737499999,26.52,-2.54,-0.05375,14216,8,0,0,4,4
23,8,42.973699624999995,-78.858369,33.96,-1.72375,0.025,14223,8,0,0,4,4
376,8,42.888948875,-78.880635875,53.84,-0.38375000000000004,-0.0012500000000000002,14201,8,0,0,4,4
40,8,42.922293124999996,-78.84403999999999,63.519999999999996,-2.9775,0.48375,14208,6,2,0,3,3
393,8,42.888045375,-78.868508625,43.96,-2.37,-0.0475,14203,8,0,0,3,4
327,8,42.92036475,-78.86393075,28.520000000000003,-2.205,0.030000000000000002,14209,8,0,0,4,4
132,7,42.998966714285714,-78.95036514285714,48.59428571428571,-4.418571428571428,-0.002857142857142857,14072,0,0,7,2,2
97,7,43.17650642857143,-78.8552382857143,29.98857142857143,-4.72,-0.09142857142857141,14132,4,0,3,2,2
419,6,43.00277599999999,-78.85448166666667,11.733333333333334,-1.0033333333333334,-0.0033333333333333322,14150,6,0,0,3,3
55,6,42.977372,-78.86288033333332,12.426666666666668,-0.43999999999999995,-0.14166666666666666,14223,6,0,0,3,3
59,6,42.83942333333334,-78.636967,21.76,-1.2049999999999998,-0.21166666666666667,14059,6,0,0,3,3
61,6,42.908648166666666,-78.88675533333334,30.933333333333337,-1.8033333333333335,0.015,14213,6,0,0,3,3
343,6,43.000118833333325,-78.71084716666667,15.840000000000002,-1.4583333333333333,-0.065,14221,6,0,0,3,3
350,6,42.97800533333333,-78.80880516666666,16.0,-0.375,-0.011666666666666665,14226,6,0,0,3,3
353,6,42.97886216666666,-78.71690516666666,16.533333333333335,-0.48500000000000004,-0.09000000000000001,14221,6,0,0,3,3
358,6,42.83870266666667,-78.80769983333333,33.81333333333333,-3.6766666666666663,-0.06166666666666667,14220,6,0,0,3,3
378,6,42.63699149999999,-78.90197233333333,18.88,-1.4066666666666665,-0.049999999999999996,14057,6,0,0,3,3
18,6,43.052249499999995,-78.80051983333333,13.12,-2.0416666666666665,-0.1466666666666667,14228,6,0,0,3,3
19,6,42.922265333333335,-78.87650416666668,26.66666666666666,-1.845,0.04166666666666666,14222,6,0,0,3,3
21,6,42.991363166666666,-78.71991183333334,26.986666666666668,-2.12,0.005000000000000002,14221,6,0,0,3,3
27,6,42.96329966666667,-78.84395233333333,13.226666666666668,-0.17666666666666667,-0.06166666666666667,14223,6,0,0,3,3
387,6,43.005696666666665,-78.82230816666667,30.666666666666668,-3.9416666666666664,0.10500000000000002,14150,6,0,0,3,3
33,6,43.20984116666667,-78.79785233333334,34.559999999999995,-1.7033333333333331,-0.03,14094,6,0,0,3,3
30,6,42.942667,-78.85639149999999,25.76,-2.0733333333333333,0.001666666666666666,14216,6,0,0,3,3
41,6,42.92227233333333,-78.86796483333335,26.026666666666667,-1.7616666666666667,-0.001666666666666665,14209,6,0,0,3,3
47,6,42.89313583333333,-78.8665985,74.08000000000001,-1.8983333333333334,0.02666666666666667,14203,6,0,0,3,3
374,6,42.802619166666666,-78.6059535,26.506666666666664,-4.073333333333333,-0.0033333333333333327,14052,2,0,4,1,1
38,6,42.943357666666664,-78.88362516666668,27.733333333333334,-1.575,-0.05166666666666667,14207,6,0,0,3,3
361,6,42.57204616666667,-79.0833135,82.77333333333334,-3.8550000000000004,0.065,14081,2,2,2,1,1
360,6,42.90225816666668,-78.67381416666666,26.453333333333337,-1.635,0.07166666666666666,14086,6,0,0,3,3
359,6,43.10214449999999,-78.97962883333332,17.12,-1.26,-0.215,14304,6,0,0,3,3
394,6,42.11409716666667,-79.21671083333334,48.906666666666666,-1.1633333333333333,0.15166666666666667,14701,6,0,0,3,3
68,6,42.76850083333333,-78.64702849999999,38.18666666666667,-1.6583333333333334,0.6316666666666667,14052,2,4,0,2,2
71,6,42.13004183333333,-79.241734,32.373333333333335,-5.4799999999999995,0.26499999999999996,14701,2,0,4,1,1
66,6,42.94299166666667,-78.87847799999999,39.626666666666665,-2.3350000000000004,0.021666666666666667,14207,6,0,0,3,3
73,6,43.051423,-78.71391766666666,19.466666666666665,-1.9433333333333334,-0.26166666666666666,14051,6,0,0,3,3
77,6,42.91862033333334,-78.69680033333333,24.586666666666662,-2.27,-0.21333333333333335,14043,6,0,0,3,3
78,6,42.94104949999999,-78.81368049999999,41.81333333333333,-1.468333333333333,-0.0016666666666666672,14215,6,0,0,3,3
75,6,42.37951666666667,-79.34718283333332,16.0,-1.095,-0.18166666666666667,14063,6,0,0,3,3
334,6,42.89440533333333,-78.86163783333332,79.94666666666666,-1.8350000000000002,0.02666666666666667,14204,6,0,0,2,3
54,6,42.897338,-78.86824866666667,39.093333333333334,-1.1983333333333333,-0.006666666666666667,14203,6,0,0,3,3
269,6,42.796135666666665,-78.79466433333333,43.199999999999996,-3.465,0.008333333333333333,14127,6,0,0,3,3
270,6,42.998808499999996,-78.697093,18.400000000000002,-0.6483333333333334,-0.09999999999999998,14221,6,0,0,3,3
260,6,42.965047166666665,-78.68265050000001,18.933333333333334,-1.5766666666666669,0.10166666666666668,14221,6,0,0,3,3
263,6,42.940639,-78.83767399999999,42.879999999999995,-3.23,0.034999999999999996,14214,6,0,0,2,3
120,6,42.89960833333333,-78.87601533333333,14.026666666666669,-1.36,-0.043333333333333335,14201,6,0,0,3,3
128,6,42.94758983333333,-78.84168933333332,18.453333333333333,-1.1733333333333333,-0.16833333333333336,14216,6,0,0,3,3
243,6,42.77792566666667,-78.78941283333333,26.986666666666665,-3.2516666666666665,-0.2316666666666667,14127,6,0,0,3,3
301,6,42.77021316666667,-78.81120233333333,52.74666666666667,-3.4616666666666673,0.03,14075,6,0,0,3,3
304,6,42.96583433333333,-78.72639733333334,8.64,-0.4749999999999999,-0.09833333333333334,14221,6,0,0,2,3
87,6,42.963438499999995,-78.87870816666667,23.039999999999996,-2.438333333333333,-0.3283333333333333,14217,6,0,0,3,3
88,6,42.947768833333335,-78.8765035,30.61333333333333,-0.7083333333333334,-0.08666666666666667,14216,4,2,0,3,3
95,6,43.05291683333334,-78.7279685,57.173333333333325,-3.9683333333333333,0.013333333333333334,14051,6,0,0,3,3
309,6,43.099305166666674,-78.94118266666668,30.02666666666667,-1.75,-0.3,14304,6,0,0,3,3
92,6,42.876009833333335,-78.79286633333332,84.0,-1.3866666666666667,-0.165,14206,6,0,0,3,3
