geohash7,total_events,brake_count,accel_count,avg_speed,avg_lat,avg_lon,unique_dates,unique_journeys
dr85cn,59979,23568,36411,24.746109471646715,42.88109841862684,-78.69739385766657,34,27179
dpxuw2,74661,23014,51647,23.567410160590065,42.98077463603681,-78.82235349389008,35,31705
dr8h91,59472,22442,37030,26.79370106940865,42.98769968102579,-78.69780185371502,34,27126
dpxuy6,52974,21332,31642,25.932435723183527,43.03658033197391,-78.8226105771059,35,24874
dpxux4,44319,20949,23370,28.09334258444378,42.99119746469858,-78.78976180500058,32,18035
dpxuwk,53292,20884,32408,29.37212470914739,43.00324128775125,-78.82214438685223,34,24365
dpxgzw,41787,20556,21231,29.655722832458963,42.88393723890008,-78.76731085260627,35,18842
dpxgzy,51235,20489,30746,25.285574314431987,42.88343611845408,-78.75537099663075,35,23112
dpxupe,49040,19475,29565,27.140090742249445,42.909084885381226,-78.76643679264126,33,21726
dpxgjw,47924,19224,28700,28.2515274184108,42.75045163569244,-78.85371581891921,35,21008
dpxuts,55203,18721,36482,26.6411437784162,43.00196147504983,-78.85429994481827,35,24523
dpxut8,57098,18682,38416,24.176066030299246,42.980847067679385,-78.85543112777648,35,24503
dpxv4x,51329,18605,32724,26.58757193788962,43.108003543922116,-78.98688523277414,38,21759
dpxupg,40624,17690,22934,25.75162564001582,42.908537581108455,-78.7559096999621,35,17802
dr8h0r,40528,17135,23393,26.677876529806472,42.93084301833463,-78.73553349956046,34,15690
dpxgxh,46221,16862,29359,26.947402912095633,42.82845085621572,-78.7884413542945,34,20200
dpxgqm,39010,16812,22198,28.402761599589777,42.789391980674615,-78.82185548976662,33,16890
dpxurs,31984,16771,15213,30.093450162581483,42.959304620404446,-78.76622018634154,34,14774
dpxgvn,45686,16738,28948,25.520518977366837,42.88262812979935,-78.8758352499691,34,19399
dr8hbt,35932,16723,19209,30.029398307914906,43.05356681289846,-78.72668256704956,34,13579
dr8j30,33725,16643,17082,32.8514232765012,43.11368282111262,-78.69689008913255,34,13395
dpxuzf,35763,16611,19152,31.407319855716796,43.034710526013754,-78.75704077798788,34,13541
dpxut0,57003,16472,40531,24.052094736841106,42.9812079833037,-78.87454941311701,36,26076
dpxgqt,41932,16072,25860,25.93682939044154,42.78902959212608,-78.81084912128931,35,18301
dpxuw6,46157,15698,30459,24.803483545290927,42.991184484783545,-78.82115966720418,35,21668
dpxurr,29749,15528,14221,31.47981948973093,42.97796809448591,-78.77988924223023,35,13117
dpxupj,38393,15513,22880,24.278121532571234,42.92114263951873,-78.78770146875104,33,15729
dpxut4,42268,15440,26828,25.73500686098221,42.99260907585013,-78.87507556069771,34,19301
dpxunz,25558,15405,10153,32.04593551921113,42.932517157054164,-78.79947140061824,33,9811
dpxgxv,33817,15405,18412,24.501374456634473,42.83215636289577,-78.75435181680133,35,15414
dr8h35,44675,15233,29442,27.323999776160903,42.95481936366987,-78.69765026692966,35,19665
dpxuw0,35981,15182,20799,25.764178038409145,42.98098841225057,-78.83373746860838,34,15901
dr8h0m,41160,15148,26012,22.723137755101973,42.91961980391317,-78.73654616940941,34,19381
dr85c5,37013,15093,21920,28.230342582336306,42.86754992327105,-78.69767932493752,35,17149
dpxuwm,31911,15050,16861,27.257763780514672,43.00865441214524,-78.82261732916609,33,13718
dr8h95,37841,15021,22820,26.476607647789653,42.99816594239,-78.69721588544215,34,17409
dpxv4s,31980,14830,17150,27.367480925578803,43.08950188673931,-78.98879652948612,34,14450
dpxux0,35140,14804,20336,28.447611269208736,42.97907665447195,-78.78780821135072,37,15457
dr8h8d,36238,14719,21519,26.693182570781975,42.99122047960763,-78.72290150143736,34,15857
dpxupv,35643,14715,20928,24.371392699829112,42.92042584238207,-78.75408798971462,35,16233
dpxuw8,45543,14430,31113,23.51388885229347,42.980589919721574,-78.81105579407867,34,20813
dpxuj2,32930,14320,18610,27.044957485575672,42.89333818378422,-78.86632709246939,34,14566
dpxgrm,34400,14261,20139,27.631965116279478,42.789505093811215,-78.78036798233464,33,13323
dpxunr,28764,14236,14528,27.178174801836057,42.93101876192564,-78.82381990421821,33,11838
dpxgxu,30421,14113,16308,26.66018013871998,42.82830620729109,-78.75435452055225,34,14138
dpxupu,31109,14064,17045,24.20893599922889,42.915764102735636,-78.75501995230752,34,14454
dpxuru,35061,13998,21063,23.5568805795614,42.96077364279352,-78.7566755592558,33,17348
dpxuwd,39475,13974,25501,24.21451830272327,42.991353318912566,-78.81278339419731,33,17979
dpxuwz,24763,13943,10820,30.36783911480879,43.01910435294556,-78.79888141969886,34,10244
dpxuyn,33285,13576,19709,26.378934955686002,43.058319290313946,-78.83571217840468,34,15366
dr8h90,28223,13527,14696,29.415960741239882,42.98104782904189,-78.69759184108786,32,12914
dpxuy7,28589,13492,15097,29.52266990800672,43.04186188841764,-78.82435378810754,35,13170
dpxuwb,40251,13322,26929,25.70529043478283,42.97992982733571,-78.7987923403647,35,18619
dr8h3j,40607,13207,27400,27.55316423276735,42.96524947110411,-78.69730229081239,34,20011
dr8h30,35220,13069,22151,28.126651618398572,42.937460832427384,-78.69763729914615,33,17069
dr8j15,29688,13068,16620,30.69020008084105,43.086088120821785,-78.69690156042752,35,12244
dpxupp,24886,13068,11818,30.134731174154037,42.93259982688932,-78.78608251450255,33,11039
dpxuv2,26798,13029,13769,25.237063586835102,43.02607172486766,-78.86308682592194,33,11164
dr8h0n,33827,13023,20804,24.941123362994272,42.926623222986294,-78.742826749787,35,15491
dpxgry,35874,12939,22935,27.123401627920106,42.79575529026428,-78.7521260094255,33,17108
dr85ch,26992,12911,14081,29.458387670420976,42.87136595294978,-78.6969289750681,33,12593
dpxutb,28648,12834,15814,27.239226473052582,42.981016035539696,-78.84422524867239,34,12733
dpxuyj,22824,12772,10052,28.55299071153192,43.054059366630504,-78.82844808858614,34,9564
dr859n,26757,12701,14056,31.25646073924628,42.83894724386105,-78.69688978140502,33,11153
dpxv5h,31818,12656,19162,25.674048337419432,43.090931320448526,-78.96615474520384,33,15153
dpxuvz,21911,12569,9342,29.091870749851825,43.063877742231924,-78.84348140144685,35,9224
dr8h3h,34923,12470,22453,25.275141883572793,42.95937920396239,-78.69704752598587,33,14955
dpxgrt,24752,12443,12309,32.38234203296722,42.7888637917717,-78.76642612003299,33,10150
dpxuwf,29825,12338,17487,28.439955406538388,42.990986468704016,-78.80347056421854,32,14002
dr8h07,38364,12303,26061,27.157540402460878,42.9096605942783,-78.73034858480978,34,17624
dpxuxf,32203,12260,19943,25.560800857063203,42.991169076982494,-78.75805818439112,33,14754
dpxuv6,39076,12241,26835,23.319068993755888,43.036282518631815,-78.86289811605768,33,16997
dr8h2x,29995,12198,17797,28.363964994165837,42.97785005827345,-78.72420587494621,34,13442
dpxuw3,27701,12154,15547,25.010667845926452,42.98692568835035,-78.82187340020309,35,12216
dpxuw7,32612,12117,20495,23.041649750084506,42.998057302217916,-78.82204217281972,34,15581
dpxupf,37143,12039,25104,28.050503998061753,42.90501135597444,-78.75442352920768,34,16368
dpxgxy,28344,12018,16326,26.002088272650468,42.83918761497775,-78.75438310052213,33,13628
dpxuzd,26068,11993,14075,28.039668559153533,43.03492348503486,-78.76582786043879,33,11950
dpxujf,24496,11964,12532,26.262504490528983,42.90377457960199,-78.84353624109787,32,9597
dpxgzg,27277,11953,15324,26.413348242108878,42.865641729039325,-78.75413111010492,35,11704
dpxupy,30895,11880,19015,25.37561417705139,42.92692107101321,-78.7542291999101,35,14395
dpxupz,25089,11854,13235,29.48978237474622,42.93123174909406,-78.7545237965366,32,11105
dpxupx,17606,11806,5800,42.1481415426561,42.93237177053272,-78.76599601886377,33,9203
dpxute,35956,11663,24293,25.48084158415872,42.9986336436507,-78.85235613166883,35,17085
dpxumx,28971,11577,17394,21.29489178834022,42.974911663558366,-78.85578306013025,32,13150
dpxgms,19976,11566,8410,33.327410893071736,42.78210944948992,-78.85083435321665,34,6384
dpxgqs,24397,11536,12861,24.487066032709272,42.784205638275424,-78.81117269631147,35,10652
dr8h3p,26930,11512,15418,34.98005050130003,42.97689483245119,-78.69839984518981,33,11777
dpxunx,24282,11504,12778,27.532397660818887,42.932127337821264,-78.81189959019156,33,10053
dpxut2,32927,11225,21702,23.64766453062851,42.98113453546044,-78.86833089382634,35,16021
dpxgrj,27097,11193,15904,29.03674281285773,42.78936502413887,-78.79069732427428,32,12372
dpxutq,24584,11138,13446,28.180913195574522,43.014447539292185,-78.86331160599539,33,10436
dr8h8e,24372,11043,13329,25.50311176760226,42.99848918381896,-78.7220788845359,35,10622
dr8hc0,27014,11041,15973,30.076029836381252,43.024074335156804,-78.69720954875137,33,11963
dpxgzc,28612,11021,17591,25.752864532364033,42.85473846330019,-78.75469822984465,34,13490
dr8h2m,26854,11013,15841,23.345961123110072,42.9646125080063,-78.73659469926557,35,12616
dpxurx,28536,10966,17570,27.507345458368487,42.97773291806431,-78.76750949561834,35,13438
dpxur9,20376,10870,9506,33.20890851982749,42.94437673733496,-78.76580168212428,35,9478
dr8j3n,25528,10839,14689,26.146529692886148,43.14653309029279,-78.69694511642376,34,11717
dpxujx,28653,10764,17889,24.83611977803372,42.93057316979174,-78.85346007946491,35,13548
dr8h42,21830,10737,11093,29.777954649564933,42.89497933344381,-78.64406191873444,33,9775
dr8h2r,22632,10731,11901,26.96627916224829,42.978034860283024,-78.73434841847936,34,10458
dpxunp,22056,10717,11339,24.983356909684606,42.93082423422057,-78.82971347193691,33,9550
dr8h80,29212,10714,18498,26.34218540325921,42.97880296731203,-78.74236736344825,34,13681
dr8j3j,22763,10694,12069,29.928921495409366,43.14156747827625,-78.69690540478096,33,10229
dpxuep,23542,10602,12940,27.494768923626328,43.02111376017698,-78.96359361176171,34,10072
dpxv4u,23931,10575,13356,25.734673853997073,43.090359247168294,-78.97281377138404,33,11137
dpxudz,15987,10563,5424,31.5655807843874,43.02146293907614,-78.97447580872176,33,6058
dpxusb,29333,10563,18770,26.540363766535062,42.98103806661794,-78.88615314467965,32,13261
dr8h2j,22572,10543,12029,22.762536328194358,42.96320121074744,-78.74488260632938,35,11271
dpxuq8,22706,10534,12172,21.976585484013214,42.93714807760003,-78.81164908711513,34,8962
dr8h6w,19931,10475,9456,27.007588179218654,42.972143780993,-78.63579422919464,33,8978
dpxgyv,24928,10422,14506,25.563479220154214,42.87643560088983,-78.79890888952289,33,10649
dr85cj,21297,10409,10888,32.045731323660824,42.87688022463232,-78.6973272467024,35,9976
dpxuth,30062,10399,19663,22.9723707670813,43.00275394707532,-78.87776658915118,35,13751
dpxuqp,21340,10394,10946,21.642643392689966,42.975776062322254,-78.83430635038012,32,8268
dr8h1p,24611,10387,14224,25.761223436674765,42.93235832818837,-78.69687086083519,34,11543
dr8h14,31260,10386,20874,23.88645553422936,42.902829730098134,-78.69777080399977,35,15653
dpxuxm,22425,10382,12043,26.433944258640288,43.008680913355356,-78.77545960914392,33,9893
dpxgqd,26869,10257,16612,27.247436823104692,42.77063800383388,-78.81064149283468,35,12167
dr8j94,31326,10240,21086,21.789306646236785,43.16866825892228,-78.69855027520435,35,13217
dr8j3h,29183,10208,18975,29.64276976321834,43.13324054589656,-78.69708691221183,37,13865
dr8h34,24894,10205,14689,30.101293886077283,42.94734346697824,-78.69737000208757,35,12039
dr8hc1,23445,10191,13254,29.91268969929638,43.03200844935093,-78.69705474152481,32,11627
dr8h2t,24506,10167,14339,26.83576879131671,42.965993276420505,-78.72383868383417,33,11757
dr8hbk,22095,10127,11968,36.718662593347425,43.047254117133996,-78.73445314731907,33,9180
dr8h10,28019,10102,17917,26.082040758057044,42.89263021345827,-78.69728783140059,34,13173
dpxgvm,23502,10097,13405,27.31863926474349,42.87709589260481,-78.86799726767441,32,10706
dpxujw,28828,10083,18745,23.447828500069544,42.92693479849424,-78.85182987827613,34,12293
dr8h0p,30149,10061,20088,26.476761086603336,42.93079591110701,-78.74290554400137,36,13687
dpxgzh,25364,10056,15308,27.241040845292627,42.87153159348179,-78.78778719078234,34,12274
dpxutp,32990,9908,23082,21.49749075477443,43.019585830009106,-78.87782658593504,33,15056
dr859h,26342,9903,16439,29.14957558271977,42.82740597505772,-78.69714458367022,33,12221
dpxurj,23627,9900,13727,23.230412663478457,42.963737729336444,-78.78717199847357,33,10757
dpxup1,22210,9894,12316,28.169850968032748,42.89900753079748,-78.78531778680302,33,9116
dpxgvr,27569,9872,17697,24.73737096013655,42.88829308302733,-78.86825858649186,34,11903
dr8j2s,28975,9822,19153,29.488177394305726,43.13300765256527,-78.72575581148686,36,11926
dpxujn,22234,9810,12424,22.456295313484024,42.92661955491863,-78.87605276697829,34,8849
dpxgxk,31061,9810,21251,24.499694150220638,42.829437007529904,-78.77662683715718,33,14615
dpxgxz,20808,9798,11010,27.799220972702752,42.84230257136703,-78.75448635487568,34,10199
dpxgrv,32379,9793,22586,27.41544426943399,42.789185959355855,-78.75734005176254,35,14954
