dataPointId,journeyId,capturedDateTime,latitude,longitude,postalCode,geohash,speed,heading,accelerationX,accelerationY,ignitionState,eventType,eventMetadata,sourceFile,date,hour,dayOfWeek,eventLabel,hour_key,rain_ratio,is_rainy,avg_temp,is_cold,is_freezing,weather_label
49528656-db38-4335-9e65-9632a879df1d-37-2,bf44c04ae78ac4fe2624caa7edd3698ddf3466af,2022-09-27 20:21:32-04:00,42.766576,-78.645378,14052,dr8563,17.92,153.4,-3.09,0.58,RUN,ANTI_LOCK_BRAKING_SYSTEM_STATE_CHANGE,{'antiLockBrakingSystemStatus': 'DEACTIVATED'},2022-09-28_00.csv,2022-09-27,20,1,ABS,2022-09-27 20,0.45536445536445536,True,12.735528775537455,False,False,rainy
49528656-db38-4335-9e65-9632a879df1d-13-1,bf44c04ae78ac4fe2624caa7edd3698ddf3466af,2022-09-27 20:21:08-04:00,42.767401,-78.645337,14052,dr8563,25.92,17.0,-1.78,-0.36,RUN,ANTI_LOCK_BRAKING_SYSTEM_STATE_CHANGE,{'antiLockBrakingSystemStatus': 'ACTIVATED'},2022-09-28_00.csv,2022-09-27,20,1,ABS,2022-09-27 20,0.45536445536445536,True,12.735528775537455,False,False,rainy
884b351b-875d-4975-a726-e8c7a56b9b48-42-2,bf44c04ae78ac4fe2624caa7edd3698ddf3466af,2022-09-27 20:23:37-04:00,42.766518,-78.645291,14052,dr8563,6.4,111.1,0.09,-0.11,RUN,ANTI_LOCK_BRAKING_SYSTEM_STATE_CHANGE,{'antiLockBrakingSystemStatus': 'DEACTIVATED'},2022-09-28_00.csv,2022-09-27,20,1,ABS,2022-09-27 20,0.45536445536445536,True,12.735528775537455,False,False,rainy
3d0d5a68-71d7-4f4d-a946-cfac574752ab-39-1,bf44c04ae78ac4fe2624caa7edd3698ddf3466af,2022-09-27 20:25:34-04:00,42.768058,-78.64541,14052,dr8563,27.52,102.7,0.66,0.46,RUN,ELECTRONIC_STABILITY_STATE_CHANGE,{'electronicStabilityStatus': 'ACTIVATED'},2022-09-28_00.csv,2022-09-27,20,1,ESC,2022-09-27 20,0.45536445536445536,True,12.735528775537455,False,False,rainy
7c1af80f-9c11-4d72-862c-b217972ab53a-3-1,bf44c04ae78ac4fe2624caa7edd3698ddf3466af,2022-09-27 20:07:58-04:00,42.766599,-78.645344,14052,dr8563,32.96,325.8,1.16,0.0,RUN,ELECTRONIC_STABILITY_STATE_CHANGE,{'electronicStabilityStatus': 'DEACTIVATED'},2022-09-28_00.csv,2022-09-27,20,1,ESC,2022-09-27 20,0.45536445536445536,True,12.735528775537455,False,False,rainy
49528656-db38-4335-9e65-9632a879df1d-19-1,bf44c04ae78ac4fe2624caa7edd3698ddf3466af,2022-09-27 20:21:14-04:00,42.767728,-78.644978,14052,dr8563,11.52,4.0,-0.88,0.21,RUN,ANTI_LOCK_BRAKING_SYSTEM_STATE_CHANGE,{'antiLockBrakingSystemStatus': 'DEACTIVATED'},2022-09-28_00.csv,2022-09-27,20,1,ABS,2022-09-27 20,0.45536445536445536,True,12.735528775537455,False,False,rainy
7c1af80f-9c11-4d72-862c-b217972ab53a-9-1,bf44c04ae78ac4fe2624caa7edd3698ddf3466af,2022-09-27 20:08:04-04:00,42.767258,-78.645401,14052,dr8563,32.0,15.5,-2.91,0.58,RUN,ANTI_LOCK_BRAKING_SYSTEM_STATE_CHANGE,{'antiLockBrakingSystemStatus': 'ACTIVATED'},2022-09-28_00.csv,2022-09-27,20,1,ABS,2022-09-27 20,0.45536445536445536,True,12.735528775537455,False,False,rainy
49528656-db38-4335-9e65-9632a879df1d-12-1,bf44c04ae78ac4fe2624caa7edd3698ddf3466af,2022-09-27 20:21:07-04:00,42.767277,-78.645365,14052,dr8563,47.04,0.6,-1.22,-0.2,RUN,ELECTRONIC_STABILITY_STATE_CHANGE,{'electronicStabilityStatus': 'ACTIVATED'},2022-09-28_00.csv,2022-09-27,20,1,ESC,2022-09-27 20,0.45536445536445536,True,12.735528775537455,False,False,rainy
884b351b-875d-4975-a726-e8c7a56b9b48-39-1,bf44c04ae78ac4fe2624caa7edd3698ddf3466af,2022-09-27 20:23:34-04:00,42.766793,-78.645426,14052,dr8563,40.96,181.8,-3.38,0.66,RUN,ANTI_LOCK_BRAKING_SYSTEM_STATE_CHANGE,{'antiLockBrakingSystemStatus': 'ACTIVATED'},2022-09-28_00.csv,2022-09-27,20,1,ABS,2022-09-27 20,0.45536445536445536,True,12.735528775537455,False,False,rainy
73836335-792b-4709-bd3f-c360a7b813d3-52-1,bf44c04ae78ac4fe2624caa7edd3698ddf3466af,2022-09-27 20:07:47-04:00,42.766512,-78.643607,14052,dr8563,53.44,267.8,0.13,0.0,RUN,ELECTRONIC_STABILITY_STATE_CHANGE,{'electronicStabilityStatus': 'DEACTIVATED'},2022-09-28_00.csv,2022-09-27,20,1,ESC,2022-09-27 20,0.45536445536445536,True,12.735528775537455,False,False,rainy
