date,front_wiper_on,front_wiper_off,front_wiper_total,total_events,wiper_rate,avg_temp,min_temp,is_rainy,is_cold,is_freezing,weather_label
2022-09-02,0,0,0,12,0.0,,,False,False,False,dry_warm
2022-09-03,0,0,0,28,0.0,,,False,False,False,dry_warm
2022-09-04,0,0,0,31,0.0,,,False,False,False,dry_warm
2022-09-05,0,0,0,26,0.0,,,False,False,False,dry_warm
2022-09-06,0,0,0,79,0.0,,,False,False,False,dry_warm
2022-09-08,0,0,0,46,0.0,,,False,False,False,dry_warm
2022-09-09,0,0,0,45,0.0,,,False,False,False,dry_warm
2022-09-10,0,0,0,51,0.0,,,False,False,False,dry_warm
2022-09-11,0,0,0,21,0.0,,,False,False,False,dry_warm
2022-09-12,0,0,0,54,0.0,,,False,False,False,dry_warm
2022-09-13,0,0,0,82,0.0,,,False,False,False,dry_warm
2022-09-14,0,0,0,128,0.0,,,False,False,False,dry_warm
2022-09-15,0,0,0,344,0.0,,,False,False,False,dry_warm
2022-09-16,0,0,0,175,0.0,,,False,False,False,dry_warm
2022-09-17,0,0,0,225,0.0,,,False,False,False,dry_warm
2022-09-18,0,0,0,282,0.0,,,False,False,False,dry_warm
2022-09-19,0,0,0,240,0.0,,,False,False,False,dry_warm
2022-09-20,0,0,0,432,0.0,,,False,False,False,dry_warm
2022-09-21,0,0,0,475,0.0,,,False,False,False,dry_warm
2022-09-22,0,0,0,898,0.0,,,False,False,False,dry_warm
2022-09-23,0,0,0,1527,0.0,,,False,False,False,dry_warm
2022-09-24,0,0,0,2752,0.0,,,False,False,False,dry_warm
2022-09-25,0,0,0,3617,0.0,,,False,False,False,dry_warm
2022-09-26,0,0,0,7985,0.0,,,False,False,False,dry_warm
2022-09-27,1741,1465,3206,256197,0.012513807733892279,12.795138725740811,10.270491803278688,False,False,False,dry_warm
2022-09-28,11339,7092,18431,3304893,0.005576882519343289,12.9569706514368,12.020334412081985,True,False,False,rainy
2022-09-29,3231,223,3454,3021519,0.0011431336357639983,12.406961015737606,7.699986645299146,True,False,False,rainy
2022-09-30,4464,1430,5894,3799651,0.0015511950966022932,11.367308413216037,4.455623565416985,True,False,False,rainy
2022-10-01,2841,369,3210,3298144,0.000973274665993965,13.617594141606054,8.45573476702509,True,False,False,rainy
2022-10-02,1886,167,2053,2440548,0.0008412045163627186,12.181676229188492,6.810356498194946,False,False,False,dry_warm
2022-10-03,3428,1352,4780,3320907,0.0014393658118098459,9.436324187698146,3.210269452845752,True,False,False,rainy
2022-10-04,3404,1176,4580,3473276,0.0013186398086417548,11.228974960628678,5.008350033400133,True,False,False,rainy
2022-10-05,3312,1098,4410,3553874,0.0012408993678447802,13.458491978008361,5.22463768115942,True,False,False,rainy
2022-10-06,2831,613,3444,3507045,0.0009820233273311293,16.3977791289791,11.600058962264152,True,False,False,rainy
2022-10-07,6962,3841,10803,3604180,0.0029973530733759133,11.979654210812392,8.291722802290334,True,False,False,rainy
2022-10-08,3563,944,4507,3250540,0.0013865388520061283,8.701403335426805,4.688637617209046,True,False,False,rainy
2022-10-09,1890,134,2024,2455806,0.0008241693358514476,12.571113770407267,8.705352266521027,False,False,False,dry_warm
2022-10-10,3439,1296,4735,3078558,0.0015380577530129365,12.14357175336101,8.845433639947437,True,False,False,rainy
2022-10-11,3198,1001,4199,3506454,0.001197506084494478,14.320094779740904,6.345954073264079,True,False,False,rainy
2022-10-12,2985,675,3660,3523620,0.0010387045141076507,17.468129756759698,11.260344827586207,True,False,False,rainy
2022-10-13,40904,35929,76833,3333594,0.02304809763876465,13.471957535463774,10.297539842178555,True,False,False,rainy
2022-10-14,4533,1320,5853,3767503,0.0015535488624693861,10.712917724212163,5.82009220542511,True,False,False,rainy
2022-10-15,11143,7385,18528,3186361,0.005814783698394501,11.053003033454019,7.662232591964123,True,False,False,rainy
2022-10-16,2808,412,3220,2573037,0.0012514394468482186,11.643933827214687,6.315777342399447,True,False,False,rainy
2022-10-17,46624,41564,88188,3071728,0.028709573243464265,8.210991908430644,4.475555694305695,True,False,False,rainy
2022-10-18,54792,49916,104708,3191522,0.032808171148436385,5.366949630156344,4.279494382022472,True,False,False,rainy
2022-10-19,39826,34591,74417,3089024,0.024090780777358805,5.370156969063984,3.9186036858708286,True,False,False,rainy
2022-10-20,24980,19925,44905,3233266,0.013888433552946155,5.583441578098809,4.271143015691229,True,False,False,rainy
2022-10-21,4653,960,5613,3781896,0.0014841761909899162,11.161978916423777,1.5440122824974412,True,False,False,rainy
2022-10-22,3366,273,3639,3351641,0.0010857368077308996,16.740129631034335,12.049483497102544,True,False,False,rainy
2022-10-23,2681,308,2989,2724188,0.0010972076817018501,15.795665323885006,8.894254330376004,False,False,False,dry_warm
2022-10-24,3963,1559,5522,3341342,0.001652629392621288,14.882191051686485,7.142696629213483,True,False,False,rainy
2022-10-25,4318,1972,6290,3413182,0.0018428551422104067,17.85017583054065,12.187420477733765,True,False,False,rainy
2022-10-26,32114,27769,59883,3250804,0.018420981394141264,14.081607382742257,10.402640264026402,True,False,False,rainy
2022-10-27,4616,579,5195,3543217,0.001466181721300163,8.144050122740458,3.5874816386486046,True,False,False,rainy
2022-10-28,3968,1636,5604,3303467,0.0016963995705118289,6.337754073209784,0.6819495533368366,True,False,False,rainy
